# id    x        y        z        u
  59 1.000000 0.700000 1.000000   1.00000000
  60 1.000000 0.800000 1.000000   1.00000000
  61 1.000000 0.900000 1.000000   1.00000000
  62 1.000000 1.000000 0.100000   6.04068544
  63 1.000000 1.000000 0.200000   8.50925635
  64 1.000000 1.000000 0.300000   6.86246601
  65 1.000000 1.000000 0.400000   0.97713794
  66 1.000000 1.000000 0.500000  14.13859287
  67 1.000000 1.000000 0.600000  14.72565343
  68 1.000000 1.000000 0.700000   0.19971985
  69 1.000000 1.000000 0.800000  -3.68586162
  70 1.000000 1.000000 0.900000  -0.23336282
  71 1.000000 0.100000 0.000000   0.00000000
  72 1.000000 0.200000 0.000000   0.00000000
  73 1.000000 0.300000 0.000000   0.00000000
  74 1.000000 0.400000 0.000000   0.00000000
  75 1.000000 0.500000 0.000000   0.00000000
  76 1.000000 0.600000 0.000000   0.00000000
  77 1.000000 0.700000 0.000000   0.00000000
  78 1.000000 0.800000 0.000000   0.00000000
  79 1.000000 0.900000 0.000000   0.00000000
  80 0.100000 0.000000 0.000000   0.00000000
  81 0.200000 0.000000 0.000000   0.00000000
  82 0.300000 0.000000 0.000000   0.00000000
  83 0.400000 0.000000 0.000000   0.00000000
  84 0.500000 0.000000 0.000000   0.00000000
  85 0.600000 0.000000 0.000000   0.00000000
  86 0.700000 0.000000 0.000000   0.00000000
  87 0.800000 0.000000 0.000000   0.00000000
  88 0.900000 0.000000 0.000000   0.00000000
  89 0.100000 0.000000 1.000000   1.00000000
  90 0.200000 0.000000 1.000000   1.00000000
  91 0.300000 0.000000 1.000000   1.00000000
  92 0.400000 0.000000 1.000000   1.00000000
  93 0.500000 0.000000 1.000000   1.00000000
  94 0.600000 0.000000 1.000000   1.00000000
  95 0.700000 0.000000 1.000000   1.00000000
  96 0.800000 0.000000 1.000000   1.00000000
  97 0.900000 0.000000 1.000000   1.00000000
  98 0.100000 1.000000 0.000000   0.00000000
  99 0.200000 1.000000 0.000000   0.00000000
 100 0.300000 1.000000 0.000000   0.00000000
 101 0.400000 1.000000 0.000000   0.00000000
 102 0.500000 1.000000 0.000000   0.00000000
 103 0.600000 1.000000 0.000000   0.00000000
 104 0.700000 1.000000 0.000000   0.00000000
 105 0.800000 1.000000 0.000000   0.00000000
 106 0.900000 1.000000 0.000000   0.00000000
 107 0.100000 1.000000 1.000000   1.00000000
 108 0.200000 1.000000 1.000000   1.00000000
 109 0.300000 1.000000 1.000000   1.00000000
 110 0.400000 1.000000 1.000000   1.00000000
 111 0.500000 1.000000 1.000000   1.00000000
 112 0.600000 1.000000 1.000000   1.00000000
 113 0.700000 1.000000 1.000000   1.00000000
 114 0.800000 1.000000 1.000000   1.00000000
 115 0.900000 1.000000 1.000000   1.00000000
 116 0.000000 0.453160 0.084778  -1.75384578
 117 0.000000 0.086603 0.550000   7.00628656
 118 0.000000 0.539426 0.907632   1.61290545
 119 0.000000 0.913397 0.450000   0.13064192
 120 0.000000 0.086603 0.350000   0.07322298
 121 0.000000 0.349080 0.911146 -10.54208730
 122 0.000000 0.650000 0.086603  -4.64326382
 123 0.000000 0.913397 0.650000   3.68069495
 124 0.000000 0.086131 0.749183   2.44002768
 125 0.000000 0.748262 0.923702   4.05363919
 126 0.000000 0.241327 0.089630   5.51740776
 127 0.000000 0.920408 0.254021   1.38170432
 128 0.000000 0.084677 0.150424  -1.81836001
 129 0.000000 0.849407 0.082950  -0.68218731
 130 0.000000 0.159183 0.909430   0.13930533
 131 0.000000 0.904505 0.844556  -3.98548243
 132 0.000000 0.086524 0.649864  18.18730238
 133 0.000000 0.173192 0.599977  -0.11019401
 134 0.000000 0.173203 0.499996  13.68467316
 135 0.000000 0.259805 0.549996  14.60689907
 136 0.000000 0.259807 0.449999  16.28915291
 137 0.000000 0.346410 0.499999   0.77723845
 138 0.000000 0.346886 0.599844 -14.92451274
 139 0.000000 0.433275 0.549657   3.59570516
 140 0.000000 0.433056 0.449943  46.28808161
 141 0.000000 0.519666 0.499933  36.09138285
 142 0.000000 0.519615 0.400000  35.58082099
 143 0.000000 0.519850 0.599615  23.69724843
 144 0.000000 0.606265 0.549925  15.08813030
 145 0.000000 0.605711 0.648963 -105.31296018
 146 0.000000 0.433020 0.349990 -27.21445867
 147 0.000000 0.516347 0.295533 -18.04374515
 148 0.000000 0.605673 0.349255   7.51792880
 149 0.000000 0.519615 0.700000   8.35252079
 150 0.000000 0.692744 0.599815   6.77439900
 151 0.000000 0.693046 0.697317 -25.35328314
 152 0.000000 0.692816 0.499957 -29.08853636
 153 0.000000 0.779423 0.550000   7.44773510
 154 0.000000 0.429872 0.248383  -6.68560121
 155 0.000000 0.345888 0.299729  19.08576262
 156 0.000000 0.601277 0.246460 -13.76957573
 157 0.000000 0.692820 0.300000 -14.30417655
 158 0.000000 0.346410 0.200000  53.36576258
 159 0.000000 0.261395 0.252855  -3.95036117
 160 0.000000 0.779423 0.450000  -9.76916491
 161 0.000000 0.695247 0.189019 -11.83756974
 162 0.000000 0.778437 0.251226   1.38049169
 163 0.000000 0.173111 0.699837   1.83155854
 164 0.000000 0.170302 0.800591   1.73720804
 165 0.000000 0.260058 0.750084   2.61736829
 166 0.000000 0.256973 0.850508   3.95576178
 167 0.000000 0.347837 0.803272   0.39191208
 168 0.000000 0.440531 0.852496   5.42032767
 169 0.000000 0.435241 0.753860 -18.25266558
 170 0.000000 0.526219 0.799211  12.30938012
 171 0.000000 0.619611 0.837042  -0.98749938
 172 0.000000 0.347323 0.700860   4.19936341
 173 0.000000 0.779423 0.650000 -20.69048321
 174 0.000000 0.779423 0.750000  -4.04013444
 175 0.000000 0.086282 0.250071   1.37302333
 176 0.000000 0.913397 0.350000   6.43280189
 177 0.000000 0.913397 0.550000   1.01417043
 178 0.000000 0.918454 0.745900   1.78277911
 179 0.000000 0.347102 0.100582 -10.25076694
 180 0.000000 0.086602 0.449999  10.35337974
 181 0.000000 0.749109 0.086753  17.69488628
 182 0.000000 0.346331 0.399943  27.37428501
 183 0.000000 0.259972 0.350421  -0.66016481
 184 0.000000 0.550527 0.084226  41.03853936
 185 0.000000 0.510020 0.183201 -16.29477289
 186 0.000000 0.259808 0.650000  11.28636434
 187 0.000000 0.606143 0.449845  -5.08323032
 188 0.000000 0.779423 0.350000 -15.71889452
 189 0.000000 0.173232 0.400069 -24.28175052
 190 0.000000 0.173448 0.300569 -30.25250250
 191 0.000000 0.692716 0.399843  -5.48175289
 192 0.000000 0.181698 0.184961  -4.85451818
 193 0.000000 0.433900 0.649395   6.63846608
 194 0.000000 0.082128 0.846932  -5.40476470
 195 0.000000 0.846566 0.922179  -1.83555960
 196 0.000000 0.906146 0.155907   8.50518078
 197 0.000000 0.149128 0.083246   3.93195443
